species_group,common_name,latin_name,description,image_path,,,,,,,,
Little blue butterfly group,Small blue,Cupido minimus,"Small blue males are dark brown with a scattering of bright blue scales that speckle their wings. Females lack this blue speckling. Both males and females exhibit the characteristic silver underside with black spots. The male has a bluish tint at the base of its wings similar to the upper side.Their wingspan can fall anywhere from 16-27mm, but males tend to be the smaller sex.Small blues are often confused with the femaleOsiris Blue, whose coloring is similar to that of the male small blue.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Cupido_minimus_male_2.jpg/2560px-Cupido_minimus_male_2.jpg?20180527202214,,,,,,,,
Cabbage white,Cabbage white / Small white,Pieris rapae,"Pieris rapaeis a small-to-medium-sizedbutterflyspeciesof the whites-and-yellowsfamilyPieridae. It is known in Europe as thesmall white, in North America and the United Kingdom as thecabbage whiteorcabbage butterfly, on several continents as thesmall cabbage white, and in New Zealand as thewhite butterfly. The butterfly is recognizable by its white color with small black dots on its wings, and it can be distinguished fromP. brassicaeby the latter's larger size and black band at the tip of the forewings.",https://upload.wikimedia.org/wikipedia/commons/9/9b/Pieris.rapae.mounted.jpg,,,,,,,,
Hesperiidae group,Skippers / Hesperiids,Hesperiidae (family),"Skippersare a group of butterflies placed in thefamilyHesperiidaewithin the orderLepidoptera(moths and butterflies). They were previously placed in a separate superfamily,Hesperioidea, but have since been placed in the superfamilyPapilionoidea(the butterflies). They are named for their quick, darting flight habits. Most have their antenna tips modified into narrow, hook-like projections. Moreover, skippers mostly lackwing-coupling structureavailable in most moths.More than 3500 species of skippers are recognized, and they occur worldwide, but with the greatest diversity in theNeotropicalregions ofCentraland South America.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Large_skipper_%28Ochlodes_sylvanus%29_underside_Bled.jpg/2560px-Large_skipper_%28Ochlodes_sylvanus%29_underside_Bled.jpg?20220718113530,,,,,,,,
Small grass-yellow,Grass_yellow butterfly,Eurema spp.,"Eurema smilaxadults have a wingspan of 3034mm, with females being slightly larger than males.They are yellow, with black tips on the upper surface of the forewings.This colouration can vary depending on flight period. In southern Australia, the summer flying forms are usually pale yellow, with few or no brown markings on the wing undersides. The winter forms are a brighter yellow, with pronounced brown markings on the wing undersides.The males are generally a brighter yellow than the females.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Eurema_brigitta_from_bangalore.JPG/1920px-Eurema_brigitta_from_bangalore.JPG,,,,,,,,
Australian painted lady,Australian painted lady,Vanessa kershawi,"TheAustralian painted lady(Vanessa kershawi) is a species ofbutterflymostly confined toAustralia,although westerly winds have dispersed it to islands east of Australia, includingNew Zealand.Debate surrounds the taxonomy of this species. Some believe that the Australian painted lady should be a subspecies of the painted lady (Vanessa cardui) due to the similarity in lifestyle and behaviour. Furthermore, the painted lady is found around the globe, but Australia is the only location in which it varies enough to be considered a separate species.",https://upload.wikimedia.org/wikipedia/commons/7/79/Australian_painted_lady_feeding.jpg,,,,,,,,
Dingy swallowtail,Dingy swallowtail,Papilio anactus (or related),"Papilio anactus, thedainty swallowtail,dingy swallowtailorsmall citrus butterflyis a medium-sizedbutterflyfrom thefamilyPapilionidae, that is endemic toAustralia. For protection against predators, this non-poisonous butterfly mimics the poisonous male Cressida cressida, another swallowtail butterfly that obtains its toxic properties through its host plant, the Dutchman's pipe.",https://upload.wikimedia.org/wikipedia/commons/2/2a/Dainty_swallowtail_kobble07.jpg,,,,,,,,
Yellow admiral,Yellow admiral,Vanessa itea,"The yellow admiral is a medium-sized butterfly, with a variable wingspan of 48 to 50mm in Tasmania,and 48 to 55mm in New Zealand.The upperside of the forewings are dark brown to black toward the outer edges, with three small white patches and a wide, bright yellow bar, and dull red nearer the body. The rear wings are dull red with a black border, and a row of black circles with light blue centres near the edge.",https://upload.wikimedia.org/wikipedia/commons/8/87/Yellow_Admiral_05.JPG,,,,,,,,
Macleay's swallowtail,Macleays swallowtail,Graphium macleayanus,"The caterpillar grows to a length of 4cm. The pupa is green with thin yellow lines. The adult female Macleay's swallowtail has a wingspan of 59 mm, whilst the adult male has a wingspan of 53 mm. The upperside of the wing is green with white markings and black edges. The lower surface is a deeper green with black, brown and white markings. The lower wings are strongly tailed.",https://upload.wikimedia.org/wikipedia/commons/f/f0/Graphium_macleayanus.jpg,,,,,,,,
Meadow argus,Meadow argus,Junonia villida,"The meadow argus has two brownish wings, each covered with two distinctive black and blueeyespotsas well as white and orange marks that appear on the edge of the wings.The eyespots are a defense mechanism that are not only used to frighten predators away, but also to confuse the predators into thinking that the eyespots are the target, allowing the butterfly to escape with only a small part of the wing being lost.The underside of the wings are mainly unmarked, except the lower part of the forewing has similar markings as the upperside.The wingspan measures 4 centimetres (1.6in) in males and 4.3 centimetres (1.7) in females.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Junonia_villida_2.jpg,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
